BusinessName,Date,Product,Quantity,TotalAmount
Tech Emporium,2024-12-24,Wireless Mouse,1,40.00
Tech Emporium,2024-12-24,Mechanical Keyboard,4,400.00
Tech Emporium,2024-12-24,USB-C Hub,3,90.00
Tech Emporium,2024-12-24,Noise-Cancelling Headphones,8,200.00
Tech Emporium,2024-12-24,External SSD (1TB),5,600.00
Tech Emporium,2024-12-24,Webcam (1080p),9,270.00
Tech Emporium,2024-12-24,Laptop Stand,10,200.00
Tech Emporium,2024-12-24,Gaming Chair,4,1200.00
Tech Emporium,2024-12-24,Portable Charger,2,80.00
Tech Emporium,2024-12-24,HDMI Cable (2m),10,120.00
Tech Emporium,2024-12-24,Smartphone Tripod,5,100.00
Tech Emporium,2024-12-24,Noise-Cancelling Earbuds,3,300.00
Tech Emporium,2024-12-24,Webcam Cover,6,30.00
Tech Emporium,2024-12-24,External Monitor (27-inch),3,900.00
Tech Emporium,2024-12-24,Ergonomic Desk Mat,9,450.00
Tech Emporium,2024-12-24,Bluetooth Speaker,2,300.00
Tech Emporium,2024-12-24,Monitor Arm Mount,5,250.00
Tech Emporium,2024-12-24,Smart Light Strip,9,180.00
Tech Emporium,2024-12-24,Wireless Charging Pad,1,40.00
Tech Emporium,2024-12-24,Mechanical Keyboard Switches (Pack),6,90.00
